Type,Entity1,Relationship,Type,Entity2
ORG,World Group, has grown into ,O,one leading services groups with diverse portfolio comprising of businesses
ORG,World Group, has grown into ,O,one marine services groups with portfolio
ORG,World Group, has grown into ,O,one leading marine services groups with portfolio comprising of businesses
ORG,Faresh, formed ,ORG,World Group
O,he, opening Indigo hotel in ,O,GPE
ORG,World Group, has grown into ,O,one leading marine services groups with diverse portfolio comprising of businesses
ORG,Faresh, is in ,DATE,1971
O,he, also opening Indigo hotel in ,O,GPE
O,group, added in ,O,GPE
PERSON,Eden, has done ,O,investments
ORG,World Group, has grown into ,O,one of marine services groups
ORG,World Group, has grown into ,O,one leading services groups with portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one leading marine services groups with diverse portfolio
ORG,World Group, has grown into ,O,one services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one leading services groups with portfolio
ORG,World Group, has grown into ,O,one leading marine services groups with portfolio
ORG,World Group, has grown into ,O,one services groups with portfolio
PERSON,Ahmad, is in ,O,early 70s
ORG,World Group, has grown into ,O,one services groups with portfolio comprising
ORG,Faresh, formed World Group in ,GPE,Turkey
ORG,World Group, has grown into ,O,one leading services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one of leading services groups with diverse portfolio
ORG,World Group, has grown into ,O,one services groups with diverse portfolio
ORG,World Group, has grown into ,O,one marine services groups with diverse portfolio
ORG,Main fund provider, is Chairman since ,DATE,2000
ORG,World Group, has grown into ,O,one marine services groups with diverse portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of leading marine services groups with diverse portfolio comprising of businesses
ORG,World Group, has grown into ,O,one marine services groups with portfolio comprising of retail businesses
PERSON,Eden, was running shipping company in ,GPE,Turkey
ORG,World Group, has grown into ,O,one of marine services groups with diverse portfolio
PERSON,Eden, has done ,O,various investments
PERSON,Eden, has done investments in ,O,his personal capacity
ORG,Main fund provider, is Chairman of ,ORG,World Group
ORG,World Group, has grown into ,O,one leading services groups with portfolio comprising
ORG,World Group, has grown into ,O,one of leading marine services groups with portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of marine services groups with diverse portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of leading services groups with diverse portfolio comprising of retail businesses
O,group, added shipping agencies in ,O,GPE
ORG,World Group, has grown into ,O,one services groups
ORG,World Group, has grown into ,O,one services groups with portfolio comprising of businesses
ORG,World Group, Faresh in ,DATE,1971
ORG,World Group, has grown into ,O,one of leading marine services groups with portfolio comprising
ORG,World Group, has grown into ,O,one services groups with diverse portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of leading marine services groups with portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of leading marine services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one leading marine services groups with portfolio comprising
ORG,World Services, is one of ,O,subsidiaries of World Group
O,group, added shipping agencies In ,O,DATE
ORG,World Services, is one of ,O,subsidiaries
PERSON,Clarence Brown, is known as ,O,specialist
ORG,World Group, has grown into ,O,one of leading services groups
ORG,World Group, has grown into ,O,one of leading services groups with portfolio
ORG,World Group, has grown into ,O,one of leading services groups with portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of services groups with portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of services groups with portfolio
ORG,World Group, has grown into ,O,one of leading services groups with portfolio comprising
PERSON,Eden, has done investments in ,O,his capacity
PERSON,Clarence Brown, is ,O,partner
ORG,World Group, has grown into ,O,one leading marine services groups with diverse portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one services groups with diverse portfolio comprising of businesses
PERSON,Ahmad, is in ,DATE,early 70s
ORG,World Group, has grown into ,O,one leading services groups with portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of services groups
PERSON,Eden, joined ,O,his fathers business
ORG,World Group, has grown into ,O,one marine services groups
ORG,World Group, has grown into ,O,one of services groups with diverse portfolio
ORG,World Group, has grown into ,O,one of services groups with diverse portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of marine services groups with portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one marine services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one of marine services groups with diverse portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one leading marine services groups with diverse portfolio comprising
O,World Group, Faresh in ,O,DATE
ORG,World Group, has grown into ,O,one of marine services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one of leading services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one of leading services groups with portfolio comprising of retail businesses
PERSON,Clarence Brown, is ,O,known
ORG,World Group, has grown into ,O,one of leading marine services groups with diverse portfolio
ORG,World Group, has grown into ,O,one marine services groups with portfolio comprising of businesses
ORG,World Group, has grown into ,O,one leading services groups with diverse portfolio
ORG,World Group, has grown into ,O,one marine services groups with portfolio comprising
O,investment, is in ,O,DATE
ORG,World Group, has grown into ,O,one of marine services groups with portfolio comprising
ORG,World Group, has grown into ,O,one of leading marine services groups
ORG,World Group, has grown into ,O,one of leading marine services groups with diverse portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of services groups with portfolio comprising of businesses
PERSON,Clarence, owns ,O,75 %
ORG,World Services, is one ,O,subsidiaries of World Group
O,dock terminal, is in ,O,DATE
ORG,Faresh, formed ,O,World Group
ORG,World Group, has grown into ,O,one leading marine services groups with portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of services groups with portfolio comprising
ORG,World Group, has grown into ,O,one leading marine services groups
ORG,World Group, has grown into ,O,one of services groups with diverse portfolio comprising
ORG,World Group, has grown into ,O,one of marine services groups with portfolio
ORG,World Group, has grown into ,O,one of leading marine services groups with portfolio
ORG,World Group, has grown into ,O,one services groups with portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one marine services groups with diverse portfolio comprising of retail businesses
ORG,World Services, is one ,O,subsidiaries
O,group, added In ,O,DATE
PERSON,Eden, was running ,O,shipping company
ORG,World Group, has grown into ,O,one leading services groups
ORG,World Group, has grown into ,O,one leading services groups with diverse portfolio comprising of retail businesses
ORG,World Group, has grown into ,O,one of marine services groups with portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of leading services groups with diverse portfolio comprising of businesses
ORG,World Group, has grown into ,O,one of services groups with diverse portfolio comprising of businesses
